age_group,answer,options,question
13-15, Option A,"A.  QRSP,B.  RSQP,C.  RQSP,D.  QRPS","
Q :	It is beautiful and intelligent Capuchin monkey."
16-18, Option A,"A.  RAM,B.  ROM,C.  EPROM,D.  PROM",Which of the following memory is volatile
16-18, Option A,"A.  CPU,B.  Magnetic Tapes and Disks,C.  Video Terminal,D.  Sensors, Mechanical Controllers",Which of the following is the fastest
16-18, Option B,"A.  1000 bytes,B.  1024 bytes,C.  2048 bytes,D.  512 bytes","A kilobyte also referred to as KB, is equal to:"
16-18, Option D,"A.  Teleport,B.  Multiplexer,C.  Concentrator,D.  Modem",Which is the device that converts computer output into a form that can be transmitted over a telephone line?
16-18, Option B,"A.  Computers,B.  Modem,C.  Printer",Which of the following items is not used in Local Area Networks (LANs)
13-15, Option D,"A.  BEATSLDEIHS,B.  BAETSLEDIHS,C.  BATESLDEIHS,D.  BAETSLDEIHS","In a certain code language, GERMINATION is written as IMGRENNOAIT. How is ESTABLISHED written in that code?"
13-15, Option D,"E.  None of these,A.  UGHHT,B.  UHJFW,C.  WFJGV","In a certain code, cloud is written as GTRKF. How is SIGHT written in that code?"
13-15, Option B,"D.  WGJHV,E.  None of these,A.  VXDQ,B.  VZDQ","In a certain code, ROAD is written as URDG. How is SWAN written in that code?"
13-15, Option B,"C.  VZCP,D.  UXDQ,A.  NGCFGT,B.  NHCGGU","In a certain code, BASIC is written as DDULE. How is LEADER written in that code?"
13-15, Option D,"C.  OGDFHT,D.  OHDGHU,A.  KQEFPA,B.  OMDGNC","In a certain code, SPRING is written as UNUFRC. How will the word MOBILE be written in that code language?"
11-12, Option E,"A.  8, 8,B.  11, 11,C.  11, 14,D.  8, 9","20, 20, 17, 17, 14, 14, 11, ... choose which pair of numbers comes next?"
11-12, Option E,"E.  11, 8,A.  29, 61,B.  27, 20,C.  31, 61","61, 57, 50, 61, 43, 36, 61, ... choose which pair of numbers comes next?"
11-12, Option E,"D.  22, 15,E.  29, 22,A.  14, 13,B.  18, 21","9, 12, 11, 14, 13, 16, 15, ... choose which pair of numbers comes next?"
11-12, Option C,"C.  14, 17,D.  12, 13,E.  18, 17,A.  28, 32","4, 8, 22, 12, 16, 22, 20, 24, ... choose which pair of numbers comes next?"
11-12, Option A,"B.  28, 22,C.  22, 28,D.  32, 36,E.  22, 26","40, 40, 31, 31, 22, 22, 13, ... choose which pair of numbers comes next?"
11-12, Option D,"A.  Beaker,B.  Glass,C.  Mug,D.  Saucer",Choose the word which is different from the rest.
11-12, Option A,"E.  Cup,A.  Feeling,B.  Joy,C.  Anxiety",Choose the word which is different from the rest.
11-12, Option D,"D.  Anger,E.  Sorrow,A.  Nanak,B.  Christ",Choose the word which is different from the rest.
11-12, Option A,"C.  Buddha,D.  Gandhi,E.  Mahavira,A.  Book",Choose the word which is different from the rest.
11-12, Option C,"B.  Paper,C.  Pencil,D.  Pen,E.  Sharpener",Choose the word which is different from the rest.
11-12, Option C,"A.  noindex,B.  nofollow,C.  norepeat,D.  noarchive",Which of the following is not a function of robots meta tag?
11-12, Option C,"A.  a scheme to be used to interpret the value of the content attribute,B.  a name for the metadata,C.  the character encoding for the HTML document,D.  none of the mentioned",What is the role of charset attribute? It specifies
11-12, Option C,"A.  noarchive,B.  nofollow,C.  noindex,D.  novalue",__________ prevents the page from being indexed altogether.
11-12, Option A,"A.  scheme,B.  content,C.  http-equiv,D.  name",Which of the following is not supported in HTML5 ?
11-12, Option B,"A.  noarchive,B.  nofollow,C.  noindex",__________ prevents search engines from following links inside the page
13-15, Option B,"A.  PQRS,B.  RPQS,C.  RSPQ,D.  RQPS",S
13-15, Option B,"A.  QRSP,B.  SQPR,C.  QPRS,D.  PSQR",:	An elderly lady suddenly became blind.
13-15, Option C,"A.  PRSQ,B.  RPQS,C.  PSQR,D.  RQPS","
P :	The doctor called daily and every time he took away some of her furniture he liked."
13-15, Option C,"A.  PQRS,B.  QPRS,C.  PRQS,D.  RPQS","
Q :	At last she was cured and the doctor demanded his fee."
13-15, Option C,"A.  PQRS,B.  QSPR,C.  SQRP","
R :	She agreed to pay a large fee to the doctor who would cure her."
16-18, Option D,"A.  Computer Startup Loader,B.  OS Version,C.  Kernel,D.  Bootstrap Loader",ROM is needed for storing an initial program called _______.
16-18, Option B,"E.  None of the above,A.  Hardware,B.  Software,C.  Bacteria",Computer Virus is a _______.
16-18, Option B,"D.  Freeware,A.  Electronically Erasable Programmable Read-Only Memory,B.  Electrically Erasable Programmable Read-Only Memory,C.  Electrically Enabled Programmable Read Only Memory",EEPROM stands for
16-18, Option C,"D.   Electronically Enabled Programmable Read Only Memory,E.  None of these,A.  PROM,B.  RAM",The most advanced form of ROM is?
16-18, Option D,"C.  EEPROM,D.  Cache Memory,A.  Hard Disk,B.  ROM",Another term for Main Memory is
11-12, Option C,"A.  26, 40,B.  29, 36,C.  40, 25,D.  25, 31","1, 10, 7, 20, 13, 30, 19, ... choose which pair of numbers comes next?"
11-12, Option E,"E.  40, 50,A.  70, 65,B.  60, 70,C.  60, 75","10, 20, 25, 35, 40, 50, 55, ... choose which pair of numbers comes next?"
11-12, Option C,"D.  60, 65,E.  65, 70,A.  25, 22,B.  26, 23","42, 40, 38, 35, 33, 31, 28, ... choose which pair of numbers comes next?"
11-12, Option E,"C.  26, 24,D.  25, 23,E.  26, 22,A.  36, 40","6, 10, 14, 18, 22, 26, 30, ... choose which pair of numbers comes next?"
11-12, Option B,"B.  33, 37,C.  38, 42,D.  34, 36,E.  34, 38","8, 12, 9, 13, 10, 14, 11, ... choose which pair of numbers comes next?"
13-15, Option A,"A.  TAECEHR,B.  TCAEHER,C.  TAECHER,D.  TAEECHR","In a certain code, CONDEMN is written as CNODMEN. How will TEACHER be written in that code?"
13-15, Option B,"A.  AKNUARRANKA,B.  KAANRAURNAAK,C.  NKKRANKRAUK,D.  RURNKAAUNAK","In a certain code, VISHWANATHAN is written as NAAWTHHSANIV. How is KARUNAKARANA written in that code?"
13-15, Option D,"A.  MJTUDQ,B.  KHRSFW,C.  MJTWFS,D.  MJTSFW","In a certain code, COVALENT is written as BWPDUOFM and FORM is written as PGNS. How will SILVER be written in that code?"
13-15, Option B,"E.  None of these,A.  DLDSTVQ,B.  DLDSRTO,C.  FNFSRTO","In a certain code, BROUGHT is written as SGFVAQN. How is SUPREME written in that code?"
13-15, Option C,"D.  RTOSDLD,E.  None of these,A.  ORNP,B.  PNRO","In a certain code language, HAND is written as SZMW, then what will be the code of MILK?"
11-12, Option A,"A.  Brick,B.  Heart,C.  Bridge,D.  Spade",Choose the word which is different from the rest.
11-12, Option D,"E.  Club,A.  Tomato,B.  Cucumber,C.  Brinjal",Choose the word which is different from the rest.
11-12, Option E,"D.  Carrot,E.  Gourd,A.  Coarse,B.  Unrefined",Choose the word which is different from the rest.
11-12, Option A,"C.  Vulgar,D.  Oafish,E.  Blunt,A.  Seal",Choose the word which is different from the rest.
11-12, Option D,"B.  Scorpion,C.  Fish,D.  Lion,A.  Month",Choose the word which is different from the rest.
11-12, Option D,"A.  scheme,B.  content,C.  http-equiv,D.  name",Different meta tags are defined by changing the __________ attribute to a valid value.
11-12, Option C,"A.  nobot,B.  nofollow,C.  noarchive,D.  nosearch",__________ prevents search engines from showing a cached link for the page.
11-12, Option B,"A.  scheme,B.  content,C.  http-equiv,D.  name",The value of the ___________ attribute refers to the time interval in seconds before the refresh is performed.
11-12, Option B,"A.  Macrodata,B.  Microdata,C.  Minidata,D.  Modifydata",__________ is an HTML specification used to add more information to HTML tags.
11-12, Option A,"A.  Item,B.  Property,C.  Value",The microdata model consists of groups of name-value pairs known as
13-15, Option C,"A.  PSQR,B.  RPSQ,C.  QSPR,D.  SRPQ",S
13-15, Option A,"A.  PSQR,B.  RPSQ,C.  QRPS,D.  SQRP",:	The study of speech disorders due to brain injury suggests that patients can think without having adequate control over their language.
13-15, Option A,"A.  SQPR,B.  PQSR,C.  RSQP,D.  QPRS","
P :	But they succeed in playing games of chess."
13-15, Option B,"A.  RSQP,B.  RQSP,C.  PQRS,D.  QPRS","
Q :	Some patients, for example fail to find the names of objects presented to them."
16-18, Option B,"A.  .doc,B.  .docx,C.  .pdf,D.  .txt",The file extension of MS-Word document in Office 2007 is _______.
16-18, Option C,"E.  .xls,A.  Communicate with hard disks,B.  Donwload files,C.  Communicate with other computer peripherals",A computer port is used to?
16-18, Option B,"D.  None of the above,A.  1024 Byte,B.  1024 KB,C.  1000 KB ",One MB is equal to?
16-18, Option A,"D.  1024 GB,A.  Printers,B.  Software,C.  Monitors","Dot-matrix, Deskjet, Inkjet and Laser are all types of which computer peripherals?"
11-12, Option B,"A.  Kennel,B.  House,C.  Stable,D.  Aviary",Choose the word which is different from the rest.
11-12, Option D,"E.  Aquarium,A.  Tortoise,B.  Duck,C.  Snake",Choose the word which is different from the rest.
11-12, Option A,"D.  Whale,E.  Crow,A.  Cliff,B.  Canyon",Choose the word which is different from the rest.
11-12, Option E,"C.  Gulch,D.  Gorge,E.  Ravine,A.  Actor",Choose the word which is different from the rest.
11-12, Option E,"B.  Artist,C.  Musician,D.  Dancer,E.  Poet",Choose the word which is different from the rest.
11-12, Option C,"A.  itemtype,B.  relevant types,C.  itemscope,D.  none of the mentioned",Every HTML element may have an ____________ attribute specified.
11-12, Option B,"A.  The value is the item created by the element.,B.  The value is the value of the element’s value attribute, if it has one, or the empty string otherwise,C.  On getting, if the element has a datetime content attribute, the IDL attribute must return that content attribute’s value,D.  The value is the element’s textContent.",Which of the following is true if the property value of a name-value pair added by an element with an itemprop attribute is a meta element ?
11-12, Option A,"A.  The value is the element’s datetime value.,B.  The value is the value of the element’s content attribute, if any, or the empty string if there is no such attribute.,C.  The value is the value of the element’s value attribute, if it has one, or the empty string otherwise.,D.  The value is the element’s textContent.",Which of the following is true if the property value of a name-value pair added by an element with an itemprop attribute is a time element ?
11-12, Option C,"A.  token,B.  typed item,C.  global identifier,D.  none of the mentioned",The ___________ of an item is the value of its element’s itemid attribute.
11-12, Option B,"A.  itemscope,B.  dom object,C.  collection.namedItem","If the element has an itemscope attribute, it returns an __________ object with all the element’s properties."
13-15, Option C,"A.  PQSR,B.  PRQS,C.  QPRS,D.  QPSR",S
16-18, Option C,"A.  IBM,B.  Apple,C.  Microsoft,D.  Macromedia",AVI(Audio Video Interleave) format was developed by?
16-18, Option C,"E.  Adobe,A.  RAM,B.  Hard Disk,C.  Cache",______ is the high speed memory used in the computer.
16-18, Option A,"D.  BIOS,A.  Asks for information,B.  Provides information and files,C.  Serves software files to other computers","In a client/server model, a client program _______."
13-15, Option B,"A.  PSQR,B.  QPSR,C.  RQPS,D.  RPSQ",:	A noise started above their heads.
13-15, Option A,"A.  SRPQ,B.  SQRP,C.  PSQR,D.  QPRS","
P :	But people did not take it seriously."
13-15, Option C,"A.  SPRQ,B.  PSRQ,C.  QSPR,D.  RQPS","
Q :	That was to show everyone that there was something wrong."
13-15, Option C,"A.  PRSQ,B.  QPSR,C.  QPRS","
R :	It was a dangerous thing to do."
16-18, Option C,"A.  Output Device,B.  Input Device,C.  Program,D.  Processor",General purpose computers are those that can be adopted to countless uses simply by changing its
13-15, Option A,"A.  QPRS,B.  PRSQ,C.  PQRS,D.  QRSP",S
13-15, Option B,"A.  PRQS,B.  QPRS,C.  QRPS,D.  SPQR",:	Several sub-cities have been planned around capital.
13-15, Option C,"A.  PSQR,B.  QSPR,C.  QSRP,D.  PRQS","
P :	Dwarga is the first among them."
13-15, Option C,"A.  PQSR,B.  SQPR,C.  QSPR,D.  PQRS","
Q :	They are expected to alleviate the problem of housing."
13-15, Option A,"A.  SQPR,B.  RPSQ,C.  QPRS","
R :	It is coming up in the south west of capital."
16-18, Option D,"A.  Mainframe,B.  Super conductor,C.  Micro computer,D.  Super computer",Which of the following is the most powerful type of the computer?
16-18, Option D,"E.  None of these,A.  It is a part of the CPU,B.  It allows very fast access to data,C.  It is relatively more expensive",Which of the following is true about primary storage?
16-18, Option C,"D.  All of the above,A.  Text,B.  CPU,C.  Program",A list of instructions used by a computer is called
